season,team_id,team,team_season_id,snapshot_date,checkpoint_pct,dataset_role,made_playoffs,season_pct,points_per_game,win_pct,goal_diff_per_game,last_5_points,last_5_goal_diff,points_rank_pct,points_gap_to_cutline,playoff_share,games_played,scheduled_games,games_remaining,league_teams,playoff_spots,points,match_points,points_adjustment,wins,draws,losses,goals_for,goals_against,goal_diff,cutline_points,last_5_games,last_match_date,baseline_top_k,source_url
2017,15362,Portland Thorns FC,2017_15362,2017-06-24,0.4,train,Yes,0.4166666666666667,1.5,0.4,0.3,7,1,0.3333333333333333,0,0.4,10,24,14,10,4,15,15,0,4,3,3,12,9,3,15,5,2017-06-24,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,18206,Orlando Pride,2017_18206,2017-06-24,0.4,train,Yes,0.4166666666666667,1.2,0.3,-0.1,7,1,0.6666666666666666,-3,0.4,10,24,14,10,4,12,12,0,3,3,4,14,15,-1,15,5,2017-06-24,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15360,Chicago Red Stars,2017_15360,2017-06-24,0.4,train,Yes,0.375,1.8888888888888888,0.5555555555555556,0.4444444444444444,11,4,0.1111111111111111,2,0.4,9,24,15,10,4,17,17,0,5,2,2,12,8,4,15,5,2017-06-17,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15363,Seattle Reign FC,2017_15363,2017-06-24,0.4,train,No,0.4166666666666667,1.4,0.3,0.6,6,1,0.4444444444444444,-1,0.4,10,24,14,10,4,14,14,0,3,5,2,20,14,6,15,5,2017-06-24,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15364,Sky Blue FC,2017_15364,2017-06-24,0.4,train,No,0.4166666666666667,1.6,0.5,0.1,9,0,0.2222222222222222,1,0.4,10,24,14,10,4,16,16,0,5,1,4,15,14,1,15,5,2017-06-17,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15361,FC Kansas City,2017_15361,2017-06-24,0.4,train,No,0.4166666666666667,1.3,0.3,0.0,8,0,0.5555555555555556,-2,0.4,10,24,14,10,4,13,13,0,3,4,3,10,10,0,15,5,2017-06-24,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,17346,Houston Dash,2017_17346,2017-06-24,0.4,train,No,0.4166666666666667,0.9,0.3,-1.0,3,-5,0.8888888888888888,-6,0.4,10,24,14,10,4,9,9,0,3,0,7,10,20,-10,15,5,2017-06-24,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15359,Boston Breakers,2017_15359,2017-06-24,0.4,train,No,0.4166666666666667,0.8,0.2,-0.6,1,-7,1.0,-7,0.4,10,24,14,10,4,8,8,0,2,2,6,8,14,-6,15,5,2017-06-24,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15365,Washington Spirit,2017_15365,2017-06-24,0.4,train,No,0.4166666666666667,1.1,0.3,-0.4,7,1,0.7777777777777778,-4,0.4,10,24,14,10,4,11,11,0,3,2,5,13,17,-4,15,5,2017-06-24,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15366,North Carolina Courage,2017_15366,2017-07-02,0.5,train,Yes,0.5,2.0,0.6666666666666666,0.5,9,3,0.0,5,0.4,12,24,12,10,4,24,24,0,8,0,4,18,12,6,19,5,2017-07-01,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15362,Portland Thorns FC,2017_15362,2017-07-02,0.5,train,Yes,0.5,1.5,0.4166666666666667,0.3333333333333333,6,0,0.4444444444444444,-1,0.4,12,24,12,10,4,18,18,0,5,3,4,15,11,4,19,5,2017-07-01,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,18206,Orlando Pride,2017_18206,2017-07-02,0.5,train,Yes,0.5,1.25,0.3333333333333333,-0.08333333333333333,9,2,0.5555555555555556,-4,0.4,12,24,12,10,4,15,15,0,4,3,5,17,18,-1,19,5,2017-07-01,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15360,Chicago Red Stars,2017_15360,2017-07-02,0.5,train,Yes,0.5,1.9166666666666667,0.5833333333333334,0.4166666666666667,10,2,0.1111111111111111,4,0.4,12,24,12,10,4,23,23,0,7,2,3,16,11,5,19,5,2017-07-01,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15363,Seattle Reign FC,2017_15363,2017-07-02,0.5,train,No,0.5,1.6666666666666667,0.4166666666666667,0.75,8,2,0.2222222222222222,1,0.4,12,24,12,10,4,20,20,0,5,5,2,24,15,9,19,5,2017-07-01,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15364,Sky Blue FC,2017_15364,2017-07-02,0.5,train,No,0.5416666666666666,1.4615384615384615,0.46153846153846156,0.0,6,-1,0.3333333333333333,0,0.4,13,24,11,10,4,19,19,0,6,1,6,19,19,0,19,5,2017-07-01,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15361,FC Kansas City,2017_15361,2017-07-02,0.5,train,No,0.5,1.0833333333333333,0.25,-0.3333333333333333,2,-6,0.7222222222222222,-6,0.4,12,24,12,10,4,13,13,0,3,4,5,11,15,-4,19,5,2017-07-02,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,17346,Houston Dash,2017_17346,2017-07-02,0.5,train,No,0.5,1.0833333333333333,0.3333333333333333,-0.75,7,-1,0.7222222222222222,-6,0.4,12,24,12,10,4,13,13,0,4,1,7,12,21,-9,19,5,2017-07-02,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15359,Boston Breakers,2017_15359,2017-07-02,0.5,train,No,0.5,1.0,0.25,-0.4166666666666667,4,-4,0.8888888888888888,-7,0.4,12,24,12,10,4,12,12,0,3,3,6,9,14,-5,19,5,2017-07-01,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15365,Washington Spirit,2017_15365,2017-07-02,0.5,train,No,0.4583333333333333,1.0,0.2727272727272727,-0.45454545454545453,7,1,1.0,-8,0.4,11,24,13,10,4,11,11,0,3,2,6,13,18,-5,19,5,2017-07-01,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15366,North Carolina Courage,2017_15366,2017-07-22,0.6,train,Yes,0.5833333333333334,1.9285714285714286,0.6428571428571429,0.5,9,3,0.1111111111111111,3,0.4,14,24,10,10,4,27,27,0,9,0,5,20,13,7,24,5,2017-07-15,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15362,Portland Thorns FC,2017_15362,2017-07-22,0.6,train,Yes,0.625,1.6666666666666667,0.4666666666666667,0.4,10,3,0.2222222222222222,1,0.4,15,24,9,10,4,25,25,0,7,4,4,19,13,6,24,5,2017-07-22,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,18206,Orlando Pride,2017_18206,2017-07-22,0.6,train,Yes,0.625,1.2666666666666666,0.3333333333333333,0.06666666666666667,7,2,0.6666666666666666,-5,0.4,15,24,9,10,4,19,19,0,5,4,6,24,23,1,24,5,2017-07-22,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
2017,15360,Chicago Red Stars,2017_15360,2017-07-22,0.6,train,Yes,0.625,1.8666666666666667,0.5333333333333333,0.4,8,1,0.0,4,0.4,15,24,9,10,4,28,28,0,8,4,3,20,14,6,24,5,2017-07-22,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
